material_id,化学式,元素,形成能_eV,稳定性_eV,带隙_eV,密度_g_cm3,晶胞体积
mp-2646975,AlO3,"Al,O",-1.75555447125,0.38603990874999994,2.3217,3.0364807537972176,82.00729424483205
mp-1096799,AlO2,"Al,O",-2.56020288,0.2952562933333347,0.0,3.340373642782068,58.63964155929608
mp-1182858,AlO2,"Al,O",-2.6712326983333328,0.1842264750000009,0.2939000000000007,3.623918313889838,54.05152548171234
mp-1182868,AlO3,"Al,O",-1.4866386150000004,0.6549557649999995,0.0,2.4325324471965803,102.3680366247112
mp-1182869,AlO2,"Al,O",-2.6263578233333327,0.22910135000000142,0.13690000000000024,2.994620406622458,130.8201284234123
mp-1182877,AlO3,"Al,O",-1.2630122512500002,0.8785821287499997,0.0,2.1067506272154466,118.19793355160706
mp-1182886,AlO3,"Al,O",-1.4760469203125002,0.6655474596874997,0.0,2.2114788391097546,450.401905262019
mp-1182887,AlO3,"Al,O",-1.4615298550000002,0.6800645249999997,0.0,2.173254672414237,229.1618868292065
mp-1182900,AlO2,"Al,O",-2.4995466675,0.35591250583333434,0.0,3.1918606132211877,122.73613219543603
mp-1182911,AlO3,"Al,O",-1.2310070912500004,0.9105872887499995,0.0,2.322790920922827,428.81788180313146
mp-1182915,AlO3,"Al,O",-1.2797466865625005,0.8618476934374995,0.0,2.1177914007627243,470.32690860060234
mp-1205393,AlO3,"Al,O",-1.4619057724999998,0.6796886075000002,0.0,2.221926172715329,224.14207429863265
mp-1253219,AlO3,"Al,O",-1.5877348612500004,0.5538595187499995,0.0,2.4465241973486687,101.7825905483695
mp-8023,AlO,"Al,O",-1.5521156375,1.3033435358333332,0.0,3.1824419214134223,22.426655230978525
mp-35200,AlO3,"Al,O",-1.58718572,0.55440866,0.0,2.454863477862166,101.4368305573852
mp-734251,AlO2,"Al,O",-2.420181035,0.4352781383333344,1.0833,2.954941254211957,132.5767900175049
mp-2352722,Al2O3,"Al,O",-3.2293030016666675,0.19724800633333306,4.7728,2.5169199862349143,201.80699255464478
mp-2637304,Al2O3,"Al,O",-2.643370957000001,0.7831800509999995,1.4387000000000008,2.6197029090986796,129.25945435990988
mp-776475,Al2O3,"Al,O",-3.3915165632500015,0.03503444474999906,5.2156,3.8747979340135696,349.56286689707736
mp-776490,Al2O3,"Al,O",-3.3802034312500004,0.046347576749999675,5.4415000000000004,4.040220639524978,335.2503725192363
mp-782035,Al2O3,"Al,O",-3.3364730753333345,0.09007793266666653,4.662399999999999,3.6316362464047662,279.7262822924992
mp-985587,Al2O3,"Al,O",-3.2164927756666675,0.2100582323333331,4.8041,1.6218074261807272,313.18888095049596
mp-1105018,Al2O3,"Al,O",-2.5558776310000004,0.8706733770000001,0.23380000000000045,3.4478512032737285,98.21229184532196
mp-1182923,Al2O3,"Al,O",-3.3306303309999996,0.09592067700000051,4.5868,2.8568508612855514,118.52959256780665
mp-1228448,Al2O3,"Al,O",-3.183729795,0.24282121300000004,2.286,2.8346766948744935,59.72839322865999
mp-1244868,Al2O3,"Al,O",-3.2109080885999997,0.21564291940000047,3.5103000000000004,3.0116558892657976,1124.3693870275313
mp-1244874,Al2O3,"Al,O",-3.1870872500000003,0.2394637580000003,3.626,3.065754474647376,1104.5286614288063
mp-1244878,Al2O3,"Al,O",-3.2216138391999998,0.2049371687999999,3.4995000000000003,3.0370899703142094,1114.9533662979734
mp-1244887,Al2O3,"Al,O",-3.2081808543000006,0.21837015369999957,4.003399999999999,3.1417327952657628,1077.8172132443224
mp-1244892,Al2O3,"Al,O",-3.1800395577000002,0.24651145029999988,3.6741,3.1204903717892787,1085.1543452159399
mp-1244898,Al2O3,"Al,O",-3.1968422100000002,0.22970879799999988,3.6405000000000003,3.221324248208888,1051.1868490216198
mp-1244909,Al2O3,"Al,O",-3.2550888872000003,0.17146212080000023,3.8764000000000003,3.1227488136713237,1084.3695372893499
mp-1244918,Al2O3,"Al,O",-3.1401820137,0.28636899430000007,3.4320999999999997,3.0093249837567555,1125.240279607285
mp-1244928,Al2O3,"Al,O",-3.1929039603000007,0.2336470476999999,3.1895999999999995,2.979574210262377,1136.475699946891
mp-1244930,Al2O3,"Al,O",-3.2444538308,0.18209717720000018,3.8784,3.1200245344756694,1085.316364898619
mp-1244937,Al2O3,"Al,O",-3.2125296453000005,0.2140213626999996,3.7137999999999995,3.0283130192576397,1118.1848324852942
mp-1244940,Al2O3,"Al,O",-3.2373862449000006,0.18916476309999997,3.7617000000000003,3.138967693779953,1078.7666572235257
mp-1244947,Al2O3,"Al,O",-3.2580014087,0.16854959930000035,4.084,3.1233754935056255,1084.151967380332
mp-1244954,Al2O3,"Al,O",-3.232377540400001,0.19417346759999976,3.5223999999999993,3.0220341391702243,1120.508085021637
mp-1244967,Al2O3,"Al,O",-3.2549415863000006,0.1716094216999995,3.9432,3.083351350988295,1098.2250482308057
mp-1244970,Al2O3,"Al,O",-3.1858494338999996,0.24070157410000004,3.3243,3.0521672091326186,1109.44566733418
mp-1244981,Al2O3,"Al,O",-2.9921398198,0.43441118820000035,2.0628,3.037864871797658,1114.6689629245575
mp-1244982,Al2O3,"Al,O",-3.2326357624999997,0.1939152455000004,3.8673,3.037986416392811,1114.6243669424632
mp-1244992,Al2O3,"Al,O",-3.2199819437,0.2065690643,2.9973,3.126775577352322,1082.9730507934323
mp-1244994,Al2O3,"Al,O",-3.1877128613999997,0.2388381466000009,3.7363000000000004,3.038875862431403,1114.2981284672587
mp-1244997,Al2O3,"Al,O",-3.1556834878,0.2708675202000004,3.4465,3.0147140017912313,1123.2288317033315
mp-1245008,Al2O3,"Al,O",-3.2066869239,0.21986408410000013,3.8462999999999994,3.0938561845658636,1094.49615112824
mp-1245023,Al2O3,"Al,O",-3.1979182156000006,0.22863279239999912,3.4326,3.071239187792245,1102.5561602663104
mp-1245024,Al2O3,"Al,O",-3.213857208800001,0.2126937991999993,3.9081,3.0642563439051522,1105.068671192234
mp-1245036,Al2O3,"Al,O",-3.1954309741,0.2311200338999999,3.417700000000001,3.0095848218201655,1125.1431299097571
mp-1245037,Al2O3,"Al,O",-3.2347358604000003,0.19181514759999985,3.5907,3.026561510242313,1118.831940038956
mp-1245043,Al2O3,"Al,O",-3.204729117800001,0.22182189019999932,3.2352999999999996,3.0055094806057214,1126.6687754613877
mp-1245052,Al2O3,"Al,O",-3.2347699006,0.19178110740000065,3.7274999999999996,2.9277778482304986,1156.5814968503203
mp-1245055,Al2O3,"Al,O",-3.2096260451000007,0.2169249628999994,3.9786,3.2186283095212653,1052.0673282263215
mp-1245056,Al2O3,"Al,O",-3.2598742618,0.16667674620000028,3.8619000000000003,3.1595663736833752,1071.7336766070346
mp-1245063,Al2O3,"Al,O",-3.2225968457000005,0.20395416229999963,3.859700000000001,3.1442185377533107,1076.965117243805
